c,n,g,AP,APB-SUMATE,FP,LIBRE,LYP-ADN,MAS-IPSP,PDC,UNIDAD,n,b,v,c_replaced
220.2278,Esc. Seccional V. Jachatira,PDC,8,2,0,0,1,2,25,0,16,7,38,220.2278
2200.2,Col. Tec. Humanistico Simon Bolivar,PDC,22,7,13,23,2,17,160,12,76,15,256,2200.2
2201.2,Esc. Elizardo Perez,PDC,4,2,1,6,2,4,49,0,25,4,68,2201.2
2202.2,U.E. Bolivia,PDC,20,5,10,9,1,6,55,3,73,6,109,2202.2
2203.2,Esc. Aniceto Arce,PDC,13,1,4,8,9,5,48,3,54,6,91,2203.2
2204.2,U.E. Totora,PDC,178,8,18,11,7,22,187,7,360,51,438,2204.2
2205.2,Esc. Franz Tamayo,PDC,33,0,1,1,2,1,73,1,89,8,112,2205.2
2206.2,Esc. Marquirivi,PDC,14,1,2,0,0,1,18,0,16,4,36,2206.2
2207.2,U.E. Romerocota,PDC,1,0,3,1,1,0,14,1,52,4,21,2207.2
2208.2,U.E. Sebastian Pagador,PDC,22,2,1,1,0,5,23,1,64,5,55,2208.2
2209.2,Col. Nal. Calazaya,PDC,36,5,6,4,3,6,41,4,167,16,105,2209.2
221.2355,Colegio Cariquina Chico,PDC,20,1,12,1,4,4,28,5,65,17,75,221.2355
2210.2,Esc. Litoral De Culta,PDC,16,2,4,5,3,4,37,1,111,11,72,2210.2
2211.2,U. E.  Gualberto Villarroel,PDC,75,31,48,104,21,39,751,69,323,44,1138,2211.2
2212.2,U.E. San Pedro de Condo,PDC,32,11,36,22,6,31,199,18,176,39,355,2212.2
2213.32091,Sala Comunal de Condo K,PDC,12,6,4,15,2,7,44,5,37,2,95,2213.32091
2214.2,U. E. Urmiri De Quillacas,PDC,26,3,9,2,1,23,45,6,90,15,115,2214.2
2215.2,Esc. Vichaj Lupe,PDC,28,10,7,9,1,3,91,7,80,12,156,2215.2
2216.2,Nucleo Marca Lagunillas,PDC,60,5,14,13,6,5,204,9,220,37,316,2216.2
2217.2,Nucleo Escolar Bolivia,PDC,4,3,13,6,2,11,42,6,107,4,87,2217.2
2218.2,Esc. Caico Bolivar,PDC,5,6,7,1,3,1,39,5,29,3,67,2218.2
2219.2,Esc. Castilla Huma,PDC,12,6,10,12,6,4,45,3,62,22,98,2219.2
222.2310,Col. San Luis Wila Cala,PDC,75,8,30,14,13,13,200,7,254,58,360,222.2310
2221.2,U.E. La Rivera,PDC,10,9,9,23,11,3,129,14,69,6,208,2221.2
2222.2,Esc. Eliodoro Villazon,PDC,21,7,5,28,3,2,122,15,22,6,203,2222.2
2223.2,U.E. Eduardo Avaroa,PDC,17,8,10,36,6,5,132,9,40,17,223,2223.2
2224.25620,Col. José Mérida Montaño,PDC,102,6,25,14,10,13,204,13,228,37,387,2224.25620
2225.2,U. E. Mejillones,PDC,27,3,10,2,1,5,40,5,27,6,93,2225.2
2226.2,U.E. Pedro Domingo Murillo,PDC,31,11,10,21,5,11,85,6,126,21,180,2226.2
2227.2,U. E. San Miguel,PDC,38,12,16,22,13,29,119,14,73,26,263,2227.2
2228.2,Col. Llanquera,PDC,50,20,18,22,3,29,127,17,86,28,286,2228.2
2229.2,U.E. Sebastian Pagador,FP,12,5,39,6,2,3,34,3,41,12,104,2229.2
223.2356,Col. San Jose,PDC,56,2,11,2,2,26,96,11,139,31,206,223.2356
2230.2,Esc. Tunupa,PDC,3,2,0,1,0,1,20,0,19,6,27,2230.2
2231.2,Esc. German Busch,PDC,14,12,4,19,2,7,47,12,16,7,117,2231.2
2232.2,Col. Chojñohuma,PDC,10,1,3,4,6,1,47,2,38,7,74,2232.2
2233.2,Esc. Jesus Belen,PDC,15,5,4,0,1,1,25,3,45,3,54,2233.2
2234.10,Col. Oscar Arnulfo,LIBRE,119,128,22,1026,32,35,594,835,375,31,2791,2234.10
2234.1000,Col. La Madre,LIBRE,161,187,33,2053,25,58,516,1158,305,33,4191,2234.1000
2234.10001,U.E. Union y Progreso,LIBRE,244,206,53,1303,34,73,1048,1119,688,65,4080,2234.10001
2234.10002,Col. Unidad Educativa La Colina,LIBRE,129,158,42,1485,33,48,483,1208,297,29,3586,2234.10002
2234.10003,Col. Esc. 29 De Diciembre,LIBRE,85,83,22,653,11,28,356,512,206,18,1750,2234.10003
2234.10004,Col. Esc. Hilanderia,LIBRE,115,101,28,1522,15,34,363,891,279,31,3069,2234.10004
2234.10007,Col. Escuela Jorge Urenda Trigo,LIBRE,96,146,26,1622,15,52,361,1080,192,14,3398,2234.10007
2234.1001,Campus Universitario,LIBRE,51,42,16,1303,9,34,155,602,132,8,2212,2234.1001
2234.10011,Col.  Anita Suarez De Leygue,LIBRE,86,168,37,892,35,24,540,809,344,35,2591,2234.10011
2234.10012,Col. Hermanos Cavanis,LIBRE,131,151,25,2628,13,58,441,1437,232,28,4884,2234.10012
2234.10013,Col. Internacional (Bethesda),LIBRE,94,146,32,1218,32,50,542,730,310,25,2844,2234.10013
2234.10014,Col. Modulo Flamingo,LIBRE,64,86,34,1558,14,25,290,776,124,7,2847,2234.10014
2234.10015,Col. Esc. La Base,LIBRE,97,163,37,1038,17,34,400,743,255,27,2529,2234.10015
2234.10016,Col. Escuela Ambrocio Villarroel,LIBRE,79,103,29,736,23,43,330,527,210,29,1870,2234.10016
2234.10017,Col. Escuela Sara Porras De Pinto,LIBRE,48,113,9,1347,9,28,245,777,162,21,2576,2234.10017
2234.10018,Colegio El Progreso,LIBRE,166,173,33,863,30,56,756,727,496,37,2804,2234.10018
2234.1002,Esc. Rene Barrientos,LIBRE,80,85,28,1692,26,33,258,952,170,7,3154,2234.1002
2234.10020,Col. Escuela El Fuerte,LIBRE,363,379,81,1834,66,135,1526,1511,1208,69,5895,2234.10020
2234.10021,Col. Nacional 9 De Octubre,LIBRE,109,172,40,1602,16,54,476,954,276,20,3423,2234.10021
2234.10023,Colegio Ignacio Warnes,PDC,231,259,57,876,32,74,1065,860,617,53,3454,2234.10023
2234.10024,Col. Modulo Nro.5 Elva Antelo Jordan,LIBRE,233,181,55,1341,51,81,1026,963,535,45,3931,2234.10024
2234.10026,Colegio Luz Y Verdad,PDC,168,104,45,556,28,51,661,468,443,32,2081,2234.10026
2234.10027,Col. Escuela Poly Villarroel,LIBRE,108,95,30,1016,20,26,396,615,352,33,2306,2234.10027
2234.10028,Col. Escuela Bolivia Holanda,PDC,398,241,94,926,62,110,1711,897,1199,111,4439,2234.10028
2234.10029,Col. San Francisco Sur,PDC,272,235,59,1228,39,67,1245,950,706,46,4095,2234.10029
2234.1003,Modulo Educativo Jose Miguel De Velasco,LIBRE,70,111,24,2144,20,39,244,1079,136,24,3731,2234.1003
2234.10030,Col. Esc.  Amsterdan,PDC,200,140,43,522,30,40,723,504,436,42,2202,2234.10030
2234.10031,Col. Esc. Max Fernandez Rojas B,PDC,164,137,68,627,21,50,843,589,502,44,2499,2234.10031
2234.10032,U.E.  Magisterio Sur 120 II,UNIDAD,151,144,40,792,18,56,705,852,439,41,2758,2234.10032
2234.10033,Colegio Plan 4000,PDC,482,324,140,1326,95,145,2398,1231,1757,185,6141,2234.10033
2234.10039,Col. Esc. Honorato Mejia,LIBRE,145,150,34,1069,19,36,715,942,371,27,3110,2234.10039
2234.1004,Col. Mirette Sciaroni,LIBRE,31,43,15,1407,5,25,89,634,64,45,2249,2234.1004
2234.10040,Col. Luis Espinal Campos,PDC,339,311,103,1544,53,120,1592,1327,938,69,5389,2234.10040
2234.10041,Col. Esc. Holanda,PDC,161,127,29,568,22,48,797,518,510,56,2270,2234.10041
2234.1005,Col. Gabriel Rene Moreno,LIBRE,25,44,13,864,4,30,91,384,63,4,1455,2234.1005
2234.1006,Col. San Martin De Porres,LIBRE,197,250,85,2674,39,80,801,1656,567,54,5782,2234.1006
2234.1007,Col. Hnas. Arredondo (Col. Jesus Peredo),LIBRE,64,106,43,1484,10,54,269,786,165,14,2816,2234.1007
2234.1008,Esc. Normal Enriquet  Finot,LIBRE,50,60,18,3020,16,36,115,1172,86,8,4487,2234.1008
2234.1009,Colegio Castulo Chavez,LIBRE,44,64,17,1509,19,36,131,634,98,8,2454,2234.1009
2234.1010,Gladys Rivero De Jimenez,LIBRE,119,130,31,1480,20,48,369,953,263,22,3150,2234.1010
2234.1011,Kinder Luisa Saucedo,LIBRE,21,12,10,484,2,2,40,195,13,1,766,2234.1011
2234.1012,Escuela San Carlos,LIBRE,41,76,6,1588,12,28,144,708,98,9,2603,2234.1012
2234.1014,Esc. Bernardo Cadario(Col.Kurt Richter),LIBRE,52,84,20,1226,9,26,164,799,113,8,2380,2234.1014
2234.1015,Esc. Aponte Tineo (Esc. Gregorio Moreno),LIBRE,23,39,14,1314,7,19,52,493,54,5,1961,2234.1015
2234.1016,U.E. Walter Suarez,LIBRE,35,51,5,857,17,19,86,392,45,6,1462,2234.1016
2234.11047,U.E. Juana Azurduy de Padilla,LIBRE,270,221,72,904,29,73,893,840,674,59,3302,2234.11047
2234.11048,Col. Club De Leones,LIBRE,27,39,23,911,4,26,96,394,66,5,1520,2234.11048
2234.11049,Col. Villa Alegre,PDC,198,114,56,401,20,34,702,390,490,35,1915,2234.11049
2234.11050,U.E. Niño Jesús IV,LIBRE,146,186,47,1816,16,65,567,1041,364,30,3884,2234.11050
2234.11051,Col. Las Americas II,LIBRE,189,236,65,1259,29,88,729,1110,477,54,3705,2234.11051
2234.11053,Col. Covipal,PDC,94,58,23,372,28,25,429,233,368,43,1262,2234.11053
2234.11056,Colegio Fuente Del Saber,UNIDAD,162,151,47,475,29,45,545,562,534,50,2016,2234.11056
2234.11057,Progreso,LIBRE,11,13,5,221,1,2,31,150,36,5,434,2234.11057
2234.11058,U.E. 2 de Abril,LIBRE,25,51,11,446,10,5,151,332,67,6,1031,2234.11058
2234.11059,Virgen De Guadalupe,LIBRE,177,237,54,1897,41,81,840,1619,495,46,4946,2234.11059
2234.11060,Motacusal,PDC,32,4,10,50,1,2,73,45,139,18,217,2234.11060
2234.11061,Fred Nuñez Gonzales,LIBRE,194,199,35,941,44,48,762,926,585,50,3149,2234.11061
2234.11063,U.E. San Cayetano,LIBRE,148,198,29,1042,13,34,599,947,396,35,3010,2234.11063
2234.11064,U.E. Los Cusis,UNIDAD,97,243,23,1009,18,30,486,1054,300,35,2960,2234.11064
2234.11065,U.E. Sixto Suarez Navarro,PDC,105,99,30,386,24,36,409,268,314,30,1357,2234.11065
2234.11066,U.E. Zaragoza,LIBRE,137,202,39,1216,36,47,711,1068,499,32,3456,2234.11066
2234.11067,Luz Del Mundo C,LIBRE,42,48,12,739,19,15,163,447,124,7,1485,2234.11067
2234.11068,16 de Julio,LIBRE,65,88,20,546,10,24,287,455,170,20,1495,2234.11068
2234.11069,U.E. Cielito Lindo,LIBRE,53,75,12,678,11,15,244,500,130,15,1588,2234.11069
2234.11070,Urkupiña,LIBRE,48,49,12,339,9,11,220,270,124,11,958,2234.11070
2234.11071,U.E. Arboleda De Fatima,LIBRE,74,124,37,1123,13,25,288,709,161,17,2393,2234.11071
2234.11072,U.E. Florida Barba Chávez,PDC,111,88,38,515,32,43,559,391,275,19,1777,2234.11072
2234.11073,U.E. 25 de Octubre,PDC,97,147,28,478,30,29,494,408,273,107,1711,2234.11073
2234.11074,Misiones De Jesus,LIBRE,78,75,14,477,15,11,330,358,177,18,1358,2234.11074
2234.11075,Pedro Diez,LIBRE,27,53,10,303,11,18,179,216,82,6,817,2234.11075
2234.11076,Sahara Guardia,LIBRE,45,85,19,868,12,26,261,580,124,15,1896,2234.11076
2234.11077,Universitario Sur,LIBRE,61,66,15,771,10,13,338,528,173,12,1802,2234.11077
2234.11078,Angelina Rivera,LIBRE,62,123,22,1035,16,60,416,688,215,19,2422,2234.11078
2234.11079,U.E. Nestor Paz Zamora,LIBRE,271,295,81,2278,51,83,1067,1612,523,56,5738,2234.11079
2234.11080,U.E. Isuto,LIBRE,17,50,25,638,3,23,97,446,62,8,1299,2234.11080
2234.11081,U.E. Rep. del Paraguay,LIBRE,30,59,16,399,2,16,260,294,107,14,1076,2234.11081
2234.11082,Modulo Rancho Nuevo,LIBRE,120,257,48,1766,31,50,724,1251,380,31,4247,2234.11082
2234.11083,Kinder Nimia Centella,LIBRE,14,34,8,330,7,6,121,237,64,3,757,2234.11083
2234.11084,Kinder Ferroviario,LIBRE,8,13,7,349,2,3,36,217,23,5,635,2234.11084
2234.11085,U.E. 3 de Mayo,LIBRE,108,125,29,635,40,48,613,500,350,27,2098,2234.11085
2234.11086,U.E. San Juan Bautista,PDC,122,93,23,365,36,42,472,354,279,26,1507,2234.11086
2234.11087,U.E. San Juan del Este,PDC,234,204,51,576,29,52,797,530,748,45,2473,2234.11087
2234.11088,U.E. 19 de Marzo,PDC,122,93,29,385,21,47,530,300,402,31,1527,2234.11088
2234.11089,U.E. Villa Moderna,PDC,99,88,35,292,17,29,406,281,266,25,1247,2234.11089
2234.11090,U.E. San Diego de Samaria,PDC,75,134,38,300,12,26,358,346,297,18,1289,2234.11090
2234.11092,16 de Febrero,LIBRE,72,84,12,762,17,20,308,611,161,14,1886,2234.11092
2234.11093,Colegio San Francisco de Asis,LIBRE,109,92,23,669,13,27,422,498,218,12,1853,2234.11093
2234.11094,U.E. 18 de Julio,LIBRE,141,138,24,1012,29,41,627,821,433,33,2833,2234.11094
2234.19,Colegio Marcelino Champagnat,LIBRE,71,92,27,1666,11,49,269,884,189,16,3069,2234.19
2234.2000,Col. Esc. Manuel Ignacio Salvatierra,LIBRE,3,3,0,65,0,3,10,15,6,0,99,2234.2000
2234.2001,Col. Seccional Monseñor Santiestevan,LIBRE,51,53,19,713,12,9,147,292,102,5,1296,2234.2001
2234.2003,Col. Gaston Guillaux,LIBRE,48,113,22,1865,20,40,256,741,130,19,3105,2234.2003
2234.2004,Col. Republica del Uruguay,LIBRE,50,64,14,1709,7,26,100,602,76,12,2572,2234.2004
2234.2006,U.E. Latinoamericano,LIBRE,22,24,11,1226,4,17,81,452,43,9,1837,2234.2006
2234.2007,Col. Club De Leones Nro.10 (Máximo Diescher),LIBRE,23,36,4,814,2,7,45,360,54,3,1291,2234.2007
2234.2008,Col. Centro Aprondy,LIBRE,15,39,11,1117,6,14,64,427,62,4,1693,2234.2008
2234.2009,Col. Wenseslao Montero,LIBRE,48,78,29,1802,6,19,115,844,117,9,2941,2234.2009
2234.2010,Col. Tecnologico Santa Cruz,LIBRE,38,52,28,1417,6,20,133,630,103,10,2324,2234.2010
2234.2011,Col. Venancio Aquino Villegas,LIBRE,22,17,6,887,4,13,39,270,61,2,1258,2234.2011
2234.2012,Col. Gualberto Villarroel,LIBRE,46,70,25,1777,12,20,129,664,106,6,2743,2234.2012
2234.2013,Col. Domingo Leigue (Boliviano Canadiense),LIBRE,31,54,14,1216,5,23,80,515,70,4,1938,2234.2013
2234.2014,Colegio  6 de Junio,LIBRE,52,74,34,1480,9,27,167,715,141,16,2558,2234.2014
2234.2015,Col. Bailon Mercado Ortiz,LIBRE,46,74,23,1398,13,34,171,675,120,12,2434,2234.2015
2234.2017,Col. 24 de Septiembre,LIBRE,39,71,24,1500,11,23,100,749,114,10,2517,2234.2017
2234.2018,Col. Liceo Maria Vacadiez,LIBRE,24,26,10,1181,8,7,52,415,59,2,1723,2234.2018
2234.2019,Col. Escuela Magisterio,LIBRE,55,77,21,1866,11,33,136,735,136,6,2934,2234.2019
2234.2020,Col. La Santa Cruz,LIBRE,26,43,10,1337,3,7,47,472,48,5,1945,2234.2020
2234.2021,Col. Carmen Ortiz De Peredo,LIBRE,46,43,18,2779,8,24,98,925,99,8,3941,2234.2021
2234.2022,Col. Britanico,LIBRE,34,40,13,2186,9,10,50,732,62,3,3074,2234.2022
2234.2023,Col. Pedro Gutierrez,LIBRE,26,71,18,2343,7,20,77,732,60,4,3294,2234.2023
2234.2026,Col. Instituto Americano Juan Wesley,LIBRE,30,56,9,1490,10,16,91,589,81,7,2291,2234.2026
2234.2027,Col. Romulo Herrera,LIBRE,84,66,13,928,19,21,227,367,209,22,1725,2234.2027
2234.2028,Col. Mariscal Sucre,LIBRE,35,64,15,1576,16,17,114,649,90,17,2486,2234.2028
2234.2029,Col. Inst. Domingo Savio,LIBRE,13,18,5,457,5,11,32,172,22,2,713,2234.2029
2234.22,Col. Part. Alfred B. Nobel,LIBRE,52,61,19,1014,17,36,206,529,131,10,1934,2234.22
2234.25416,Kinder Guarderia El Carmen,LIBRE,18,29,3,455,6,8,70,274,36,4,863,2234.25416
2234.25417,Facultad de Ciencias Agricolas U.A.G.R.M.,LIBRE,110,166,22,3183,21,58,302,1614,235,19,5476,2234.25417
2234.25418,Modulo Educativo German Busch,LIBRE,37,64,9,926,8,27,158,658,69,12,1887,2234.25418
2234.25419,U.E. Josefina Balsamo Los Pinos,LIBRE,31,43,12,683,6,7,207,433,85,6,1422,2234.25419
2234.25421,U.E. Pastorcito De Fátima (Don Bosco),LIBRE,20,24,11,417,5,7,92,276,49,11,852,2234.25421
2234.25422,U.E. Bibosi,LIBRE,74,88,24,414,28,21,329,380,208,23,1358,2234.25422
2234.25423,U.E. El Arenal C,LIBRE,34,38,6,266,12,5,176,257,86,14,794,2234.25423
2234.25425,U.E. Luis Antonio Añez Campos,PDC,126,150,30,565,11,57,583,471,346,27,1993,2234.25425
2234.25426,U.E. 26 de Junio,LIBRE,123,158,45,949,26,40,587,649,388,29,2577,2234.25426
2234.25427,U.E. Manos Unidas,LIBRE,25,58,7,356,10,23,206,216,104,11,901,2234.25427
2234.25428,U.E. Villa Alba,LIBRE,22,20,5,360,7,8,76,201,33,3,699,2234.25428
2234.25429,U.E. Señor de los Milagros,LIBRE,71,84,18,761,7,26,361,535,146,17,1863,2234.25429
2234.25430,U.E. 24 de Marzo,LIBRE,138,157,41,758,25,37,622,624,366,31,2402,2234.25430
2234.25431,U.E. 26 de Noviembre,LIBRE,17,15,2,270,2,5,61,168,34,5,540,2234.25431
2234.25432,U.E. Maria De Las Candelarias,LIBRE,28,43,5,344,6,14,174,295,90,7,909,2234.25432
2234.25433,Kinder Libertad,LIBRE,33,36,16,303,3,17,137,186,81,8,731,2234.25433
2234.25434,U.E. Hacia La Cumbre,LIBRE,22,49,9,529,7,21,133,342,60,7,1112,2234.25434
2234.25435,U.E. Palmar Del Oriente,LIBRE,74,90,28,857,24,19,339,447,162,15,1878,2234.25435
2234.25436,Kinder Cariñosito,LIBRE,52,69,15,511,9,21,326,382,216,9,1385,2234.25436
2234.25437,U.E. Mateo Kuljis Llic II,LIBRE,27,40,6,263,9,9,169,168,62,8,691,2234.25437
2234.25438,Modulo Educativo Maria De Mattias,LIBRE,22,37,12,694,5,10,102,398,47,4,1280,2234.25438
2234.25439,Modulo Educativo Republica De Colombia,LIBRE,129,130,46,659,21,52,612,517,385,27,2166,2234.25439
2234.25440,U.E. Victoria Diez,LIBRE,62,106,28,558,11,18,324,468,171,12,1575,2234.25440
2234.25441,Modulo Educativo Cenetrop,UNIDAD,30,31,10,192,11,10,179,223,126,10,686,2234.25441
2234.25442,U.E. Santa Ana C,LIBRE,47,34,8,456,6,8,194,311,122,9,1064,2234.25442
2234.25443,Modulo Educativo Jardin Latino,LIBRE,18,19,1,519,6,10,39,273,28,13,885,2234.25443
2234.25444,Modulo Educativo 24 De Septiembre,LIBRE,15,39,12,408,6,9,110,271,53,6,870,2234.25444
2234.25470,U.E. Santa Cruz de la Sierra,LIBRE,86,137,35,3631,12,56,267,1497,174,21,5721,2234.25470
2234.25472,U.E. Josefina Balsamo Cordecruz,LIBRE,73,33,12,959,10,36,176,386,107,10,1685,2234.25472
2234.25475,U.E. Manantial De Vida,PDC,145,195,55,505,24,63,712,497,569,53,2196,2234.25475
2234.25653,U.E. Santa Cecilia,LIBRE,124,153,31,1171,19,41,518,859,308,32,2916,2234.25653
2234.25654,U.E. Pedro Rivero Mercado,LIBRE,86,154,38,1792,27,46,538,1372,321,22,4053,2234.25654
2234.25655,U.E. Ramon Dario Gutierrez  A,LIBRE,78,86,34,2265,17,25,272,1002,172,13,3779,2234.25655
2234.25656,U.E. Paraíso de los Infantes,PDC,250,279,92,734,35,66,1008,753,800,53,3217,2234.25656
2234.25657,U.E. Luz del Mundo  A,PDC,267,244,71,1162,49,89,1311,1059,744,123,4252,2234.25657
2234.25658,U.E. San Marcos,LIBRE,43,97,8,453,13,15,265,325,153,14,1219,2234.25658
2234.25659,U.E. Andres Ibañez  A,PDC,135,127,40,473,40,41,680,379,370,29,1915,2234.25659
2234.25660,U.E. El Terrado,LIBRE,52,86,15,536,7,17,251,430,168,9,1394,2234.25660
2234.25661,U.E. Libertad,LIBRE,63,89,14,554,19,24,336,461,195,14,1560,2234.25661
2234.25662,U.E. Luis Melgar I,PDC,260,214,104,670,37,68,1078,639,767,61,3070,2234.25662
2234.25663,U.E. Módulo Roca y Coronado,LIBRE,198,179,43,1172,26,46,863,820,527,42,3347,2234.25663
2234.25664,U.E. 1ro. De Mayo,LIBRE,38,61,9,488,9,12,239,403,87,4,1259,2234.25664
2234.25665,U.E. Francisco Hurtado Pedraza,LIBRE,216,268,65,1236,55,80,946,1150,619,81,4016,2234.25665
2234.25666,U.E. Melvin Jones,LIBRE,9,15,5,395,1,7,48,188,37,1,668,2234.25666
2234.25667,U.E. Juancito Pinto,LIBRE,138,191,38,1233,38,57,651,836,366,47,3182,2234.25667
2234.25668,U.E. 18 de Noviembre,LIBRE,33,49,8,1327,11,23,120,731,88,5,2302,2234.25668
2234.25677,U.E. Bautista Vida Nueva,LIBRE,100,143,20,1175,20,20,365,739,275,39,2582,2234.25677
2234.25858,U. E. Santa Claudina Thevenet,LIBRE,71,118,24,649,16,38,418,549,241,28,1883,2234.25858
2234.26,Colegio Adela Zamudio,LIBRE,243,268,46,2410,44,125,958,1473,600,44,5567,2234.26
2234.26338,U. E. Libertador Simón Bolívar,LIBRE,28,27,13,721,3,13,78,321,47,2,1204,2234.26338
2234.26340,U. E. 10 de Octubre,LIBRE,250,357,60,2502,37,74,854,1685,589,54,5819,2234.26340
2234.26343,U. E. Felix Oroza Marañon II,LIBRE,72,56,25,615,5,24,247,394,183,15,1438,2234.26343
2234.26345,U. E. Módulo El Trapiche,LIBRE,33,52,14,702,9,20,189,464,105,10,1483,2234.26345
2234.26346,U. E. Módulo Urbanización Cotoca (Prof. Jaime Escalante),LIBRE,174,232,45,3641,25,48,517,1873,345,33,6555,2234.26346
2234.26348,U. E. Neptaly Sandoval II,LIBRE,16,36,16,805,5,16,102,340,41,3,1336,2234.26348
2234.26353,U.E. Japón V Nivel Inicial,LIBRE,39,79,14,954,14,22,239,525,122,9,1886,2234.26353
2234.26400,U.E. San Jorge Norte,LIBRE,1,19,2,181,3,4,27,121,18,6,358,2234.26400
2234.26401,U.E. Dennys Antelo Jordan,LIBRE,2,7,5,118,0,9,20,72,4,2,233,2234.26401
2234.26402,U.E. Feliciana Rodriguez I,LIBRE,10,11,2,145,3,2,24,82,9,31,279,2234.26402
2234.26403,U.E. Hilarión Tomelicht Ardaya I,LIBRE,4,6,0,158,1,2,14,76,13,2,261,2234.26403
2234.26404,Centro Eductivo Boliviano Japonés,LIBRE,8,18,7,392,4,5,39,180,56,3,653,2234.26404
2234.26405,Módulo Educativo Boris Banzer de Porvenir,LIBRE,20,34,5,325,6,4,91,203,40,1,688,2234.26405
2234.26406,U.E. 4 de Febrero,LIBRE,26,33,15,359,13,13,201,301,88,8,961,2234.26406
2234.26407,Tecnológico Productivo Plan 3000,LIBRE,7,14,1,90,7,9,61,68,20,3,257,2234.26407
2234.26408,U.E. San Francisco Sur (Modulo Secundario),LIBRE,27,32,11,177,13,5,156,133,89,6,554,2234.26408
2234.26409,U.E. Amsterdam I Primaria,PDC,23,13,6,70,5,4,78,70,56,4,269,2234.26409
2234.26410,Módulo Educativo El Triunfo,LIBRE,15,15,6,138,10,9,117,87,47,4,397,2234.26410
2234.26411,U.E. La Ponderosa,LIBRE,9,9,2,61,7,3,59,42,23,1,192,2234.26411
2234.26412,U.E. Hector Saucedo Montaño,PDC,10,8,3,53,3,3,71,39,22,2,190,2234.26412
2234.26413,U.E. Hortencia Banegas de Pinto,PDC,60,36,12,209,4,14,235,162,158,9,732,2234.26413
2234.26415,U.E. República Argentina A,LIBRE,4,12,2,146,1,5,32,79,17,2,281,2234.26415
2234.26416,U.E. Niño Feliz el Pari,LIBRE,5,7,1,109,2,2,18,52,12,1,196,2234.26416
2234.26417,U.E. John Fitzgerald Kennedy III,LIBRE,10,21,3,363,6,6,91,181,55,6,681,2234.26417
2234.26418,U.E. Lucas Casaert,LIBRE,6,12,1,203,4,3,30,97,21,1,356,2234.26418
2234.26419,U.E. El Porvenir,LIBRE,7,11,6,167,6,2,45,84,23,4,328,2234.26419
2234.26420,U.E. Rómulo Gomez I,LIBRE,4,7,1,75,0,0,18,36,8,1,141,2234.26420
2234.26421,Unidad Educativa Santa Ana D,LIBRE,72,116,21,2356,9,34,226,1252,174,15,4086,2234.26421
2234.26422,U.E. Grigota,LIBRE,37,62,26,1226,20,21,194,604,123,15,2190,2234.26422
2234.26424,12 de Abril (Modulo 20 de Junio),LIBRE,135,142,34,1174,27,46,481,921,307,19,2960,2234.26424
2234.26425,U.E. San Martin de Porres,LIBRE,65,101,17,536,8,9,189,408,157,15,1333,2234.26425
2234.3000,Colegio Marista,LIBRE,17,21,5,1245,4,11,25,370,44,9,1698,2234.3000
2234.3001,Colegio Don Bosco,LIBRE,37,41,7,1426,10,28,80,503,69,6,2132,2234.3001
2234.3002,Col. Josefina Goytia,LIBRE,16,11,3,775,4,18,36,237,35,2,1100,2234.3002
2234.3003,Col. Ramon Dario Gutierrez,LIBRE,28,32,9,1077,3,24,74,435,57,1,1682,2234.3003
2234.3004,Colegio Raquel Sossa,LIBRE,17,16,5,473,1,7,24,209,16,1,752,2234.3004
2234.3006,Colegio Justo Leigue,LIBRE,19,16,23,954,1,14,43,287,48,4,1357,2234.3006
2234.3007,Col. Fe y Alegria   Aniceto Arze,LIBRE,81,133,52,2751,23,69,289,1330,212,19,4728,2234.3007
2234.3008,Col. Felix Bascope Sanandita,LIBRE,53,58,29,1155,12,22,120,522,92,9,1971,2234.3008
2234.3009,Col. San Carlos,LIBRE,39,38,12,1124,8,30,169,483,90,7,1903,2234.3009
2234.3010,Col. El Pajonal,LIBRE,27,35,9,956,8,12,82,383,67,6,1512,2234.3010
2234.3011,Colegio Nestor Suarez,LIBRE,80,147,31,1749,11,45,361,1005,250,17,3429,2234.3011
2234.3012,Col. Magdalena Postel,LIBRE,90,135,53,1963,14,41,270,843,188,21,3409,2234.3012
2234.3013,Col. Sagrado Corazon,LIBRE,13,49,9,568,13,15,122,294,76,8,1083,2234.3013
2234.3014,Col. Tristan Roca,LIBRE,33,66,15,1200,14,20,181,518,119,9,2047,2234.3014
2234.3015,U.E. Domingo Faustino,LIBRE,0,4,0,57,2,2,21,21,14,15,107,2234.3015
2234.3016,Col. Dios es Amor,LIBRE,16,38,5,853,3,6,62,318,58,11,1301,2234.3016
2234.3017,Col. Nacional Salesiano,LIBRE,27,46,9,993,10,23,115,401,108,8,1624,2234.3017
2234.3020,Col. Basilio De Cuellar,LIBRE,9,8,12,707,0,9,47,187,39,4,979,2234.3020
2234.3021,Col. Obispo Santistevan,LIBRE,3,10,12,450,6,7,21,130,13,1,639,2234.3021
2234.3022,Col. Juan Pablo II,LIBRE,35,50,33,2024,11,25,94,787,102,14,3059,2234.3022
2234.3023,Col. Nacional Florida,LIBRE,19,16,23,875,7,6,45,373,47,3,1364,2234.3023
2234.3024,U.E. Arroyito,PDC,168,112,49,403,24,33,583,392,510,47,1764,2234.3024
2234.3025,Col. Unidad Educativa San Jorge,PDC,184,101,51,240,15,39,523,249,493,36,1402,2234.3025
